date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:03:20	116/116	U-----	200	untouched ('OK')	text/plain	date:Sat,%2022%20Apr%202023%2008:02:54%20GMT	https://wilhelmfontoura.com/robots.txt		(from )
05:03:21	42077/-1	---M--	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202023%2008:03:30%20GMT	https://wilhelmfontoura.com/ceculitis/	C:/Users/Gabriel/OneDrive/%c3%81rea%20de%20Trabalho/Will/S/wilhelmfontoura.com/ceculitis/index.html	(from )
05:03:22	18201/18201	---MCZ	-1	error ('Error%20when%20decompressing')	text/css	date:Thu,%2030%20Mar%202023%2004:33:02%20GMT	https://wilhelmfontoura.com/wp-includes/css/dist/block-library/style.min.css?ver=6.2	C:/Users/Gabriel/OneDrive/%c3%81rea%20de%20Trabalho/Will/S/wilhelmfontoura.com/wp-includes/css/dist/block-library/style.minae48.css	(from https://wilhelmfontoura.com/ceculitis/)
05:03:24	291/291	---M-Z	200	added ('OK')	text/css	date:Thu,%2030%20Mar%202023%2004:33:02%20GMT	https://wilhelmfontoura.com/wp-includes/css/classic-themes.min.css?ver=6.2	C:/Users/Gabriel/OneDrive/%c3%81rea%20de%20Trabalho/Will/S/wilhelmfontoura.com/wp-includes/css/classic-themes.minae48.css	(from https://wilhelmfontoura.com/ceculitis/)
05:03:25	35312/35312	---MCZ	-1	error ('Error%20when%20decompressing')	text/css	date:Mon,%2019%20Jul%202021%2009:15:00%20GMT	https://wilhelmfontoura.com/wp-content/themes/twentytwentyone/style.css?ver=1.4	C:/Users/Gabriel/OneDrive/%c3%81rea%20de%20Trabalho/Will/S/wilhelmfontoura.com/wp-content/themes/twentytwentyone/stylead05.css	(from https://wilhelmfontoura.com/ceculitis/)
05:03:26	1127/1127	---M-Z	-1	error ('Error%20when%20decompressing')	text/css	date:Fri,%2013%20Nov%202020%2003:06:16%20GMT	https://wilhelmfontoura.com/wp-content/themes/twentytwentyone/assets/css/print.css?ver=1.4	C:/Users/Gabriel/OneDrive/%c3%81rea%20de%20Trabalho/Will/S/wilhelmfontoura.com/wp-content/themes/twentytwentyone/assets/css/printad05.css	(from https://wilhelmfontoura.com/ceculitis/)
05:03:26	4028/4028	---M-Z	-1	error ('Error%20when%20decompressing')	text/css	date:Sun,%2002%20Apr%202023%2017:00:55%20GMT	https://wilhelmfontoura.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.18.0	C:/Users/Gabriel/OneDrive/%c3%81rea%20de%20Trabalho/Will/S/wilhelmfontoura.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min3b94.css	(from https://wilhelmfontoura.com/ceculitis/)
05:03:27	15378/15378	---M-Z	-1	error ('Error%20when%20decompressing')	text/css	date:Sun,%2002%20Apr%202023%2017:00:55%20GMT	https://wilhelmfontoura.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.12.1	C:/Users/Gabriel/OneDrive/%c3%81rea%20de%20Trabalho/Will/S/wilhelmfontoura.com/wp-content/plugins/elementor/assets/css/frontend-lite.minfb6f.css	(from https://wilhelmfontoura.com/ceculitis/)
05:03:28	3188/3188	---M-Z	-1	error ('Error%20when%20decompressing')	text/css	date:Sun,%2002%20Apr%202023%2017:00:55%20GMT	https://wilhelmfontoura.com/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	C:/Users/Gabriel/OneDrive/%c3%81rea%20de%20Trabalho/Will/S/wilhelmfontoura.com/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from https://wilhelmfontoura.com/ceculitis/)
05:03:29	356/356	---M-Z	-1	error ('Error%20when%20decompressing')	text/css	date:Sun,%2002%20Apr%202023%2017:49:46%20GMT	https://wilhelmfontoura.com/wp-content/uploads/elementor/css/post-5.css?ver=1680457786	C:/Users/Gabriel/OneDrive/%c3%81rea%20de%20Trabalho/Will/S/wilhelmfontoura.com/wp-content/uploads/elementor/css/post-554d5.css	(from https://wilhelmfontoura.com/ceculitis/)
